"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 9","Season peak percentage","Bin","percent","7.8","7.9",0.0038
"HHS Region 9","Season peak percentage","Bin","percent","7.9","8",0.00469999999999999
"HHS Region 9","Season peak percentage","Bin","percent","8","8.1",0.005
"HHS Region 9","Season peak percentage","Bin","percent","8.1","8.2",0.00349999999999999
"HHS Region 9","Season peak percentage","Bin","percent","8.2","8.3",0.0045
"HHS Region 9","Season peak percentage","Bin","percent","8.3","8.4",0.0029
"HHS Region 9","Season peak percentage","Bin","percent","8.4","8.5",0.0032
"HHS Region 9","Season peak percentage","Bin","percent","8.5","8.6",0.0026
"HHS Region 9","Season peak percentage","Bin","percent","8.6","8.7",0.0019
"HHS Region 9","Season peak percentage","Bin","percent","8.7","8.8",0.0019
"HHS Region 9","Season peak percentage","Bin","percent","8.8","8.9",0.000699999999999999
"HHS Region 9","Season peak percentage","Bin","percent","8.9","9",0.0019
"HHS Region 9","Season peak percentage","Bin","percent","9","9.1",0.0016
"HHS Region 9","Season peak percentage","Bin","percent","9.1","9.2",0.0025
"HHS Region 9","Season peak percentage","Bin","percent","9.2","9.3",0.0011
"HHS Region 9","Season peak percentage","Bin","percent","9.3","9.4",0.0021
"HHS Region 9","Season peak percentage","Bin","percent","9.4","9.5",0.0014
"HHS Region 9","Season peak percentage","Bin","percent","9.5","9.6",0.0014
"HHS Region 9","Season peak percentage","Bin","percent","9.6","9.7",0.0017
"HHS Region 9","Season peak percentage","Bin","percent","9.7","9.8",0.000999999999999999
"HHS Region 9","Season peak percentage","Bin","percent","9.8","9.9",0.0012
"HHS Region 9","Season peak percentage","Bin","percent","9.9","10",0.0011
"HHS Region 9","Season peak percentage","Bin","percent","10","10.1",0.000599999999999999
"HHS Region 9","Season peak percentage","Bin","percent","10.1","10.2",0.000599999999999999
"HHS Region 9","Season peak percentage","Bin","percent","10.2","10.3",0.0017
"HHS Region 9","Season peak percentage","Bin","percent","10.3","10.4",0.000999999999999999
"HHS Region 9","Season peak percentage","Bin","percent","10.4","10.5",0.0011
"HHS Region 9","Season peak percentage","Bin","percent","10.5","10.6",3e-04
"HHS Region 9","Season peak percentage","Bin","percent","10.6","10.7",4e-04
"HHS Region 9","Season peak percentage","Bin","percent","10.7","10.8",0.000599999999999999
"HHS Region 9","Season peak percentage","Bin","percent","10.8","10.9",0.0013
"HHS Region 9","Season peak percentage","Bin","percent","10.9","11",0.000999999999999999
"HHS Region 9","Season peak percentage","Bin","percent","11","11.1",4e-04
"HHS Region 9","Season peak percentage","Bin","percent","11.1","11.2",0.000799999999999999
"HHS Region 9","Season peak percentage","Bin","percent","11.2","11.3",0.000999999999999999
"HHS Region 9","Season peak percentage","Bin","percent","11.3","11.4",9e-04
"HHS Region 9","Season peak percentage","Bin","percent","11.4","11.5",0.000799999999999999
"HHS Region 9","Season peak percentage","Bin","percent","11.5","11.6",0.0012
"HHS Region 9","Season peak percentage","Bin","percent","11.6","11.7",0.0013
"HHS Region 9","Season peak percentage","Bin","percent","11.7","11.8",0.0013
"HHS Region 9","Season peak percentage","Bin","percent","11.8","11.9",0.000999999999999999
"HHS Region 9","Season peak percentage","Bin","percent","11.9","12",0.0013
"HHS Region 9","Season peak percentage","Bin","percent","12","12.1",0.000799999999999999
"HHS Region 9","Season peak percentage","Bin","percent","12.1","12.2",5e-04
"HHS Region 9","Season peak percentage","Bin","percent","12.2","12.3",0.000799999999999999
"HHS Region 9","Season peak percentage","Bin","percent","12.3","12.4",0.000799999999999999
"HHS Region 9","Season peak percentage","Bin","percent","12.4","12.5",0.000599999999999999
"HHS Region 9","Season peak percentage","Bin","percent","12.5","12.6",0.000599999999999999
"HHS Region 9","Season peak percentage","Bin","percent","12.6","12.7",0.000699999999999999
"HHS Region 9","Season peak percentage","Bin","percent","12.7","12.8",3e-04
"HHS Region 9","Season peak percentage","Bin","percent","12.8","12.9",3e-04
"HHS Region 9","Season peak percentage","Bin","percent","12.9","13",9.99999999999999e-05
"HHS Region 9","Season peak percentage","Bin","percent","13","100",0.0172
"HHS Region 9","1 wk ahead","Point","percent",NA,NA,2.7
"HHS Region 9","1 wk ahead","Bin","percent","0","0.1",0
"HHS Region 9","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 9","1 wk ahead","Bin","percent","0.2","0.3",4e-04
"HHS Region 9","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 9","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 9","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 9","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 9","1 wk ahead","Bin","percent","0.7","0.8",3e-04
"HHS Region 9","1 wk ahead","Bin","percent","0.8","0.9",2e-04
"HHS Region 9","1 wk ahead","Bin","percent","0.9","1",0
"HHS Region 9","1 wk ahead","Bin","percent","1","1.1",0.0014
"HHS Region 9","1 wk ahead","Bin","percent","1.1","1.2",0.0057
"HHS Region 9","1 wk ahead","Bin","percent","1.2","1.3",0.003
"HHS Region 9","1 wk ahead","Bin","percent","1.3","1.4",4e-04
"HHS Region 9","1 wk ahead","Bin","percent","1.4","1.5",0.002
"HHS Region 9","1 wk ahead","Bin","percent","1.5","1.6",0.0102
"HHS Region 9","1 wk ahead","Bin","percent","1.6","1.7",0.0026
"HHS Region 9","1 wk ahead","Bin","percent","1.7","1.8",0.0051
"HHS Region 9","1 wk ahead","Bin","percent","1.8","1.9",0.0129
"HHS Region 9","1 wk ahead","Bin","percent","1.9","2",0.0255
"HHS Region 9","1 wk ahead","Bin","percent","2","2.1",0.0373
"HHS Region 9","1 wk ahead","Bin","percent","2.1","2.2",0.0356
"HHS Region 9","1 wk ahead","Bin","percent","2.2","2.3",0.0732999999999999
"HHS Region 9","1 wk ahead","Bin","percent","2.3","2.4",0.0752999999999999
"HHS Region 9","1 wk ahead","Bin","percent","2.4","2.5",0.0566999999999999
"HHS Region 9","1 wk ahead","Bin","percent","2.5","2.6",0.0637999999999999
"HHS Region 9","1 wk ahead","Bin","percent","2.6","2.7",0.0557999999999999
"HHS Region 9","1 wk ahead","Bin","percent","2.7","2.8",0.0657999999999999
"HHS Region 9","1 wk ahead","Bin","percent","2.8","2.9",0.0609
"HHS Region 9","1 wk ahead","Bin","percent","2.9","3",0.0659999999999999
"HHS Region 9","1 wk ahead","Bin","percent","3","3.1",0.0515
"HHS Region 9","1 wk ahead","Bin","percent","3.1","3.2",0.0376
"HHS Region 9","1 wk ahead","Bin","percent","3.2","3.3",0.0379
"HHS Region 9","1 wk ahead","Bin","percent","3.3","3.4",0.0275
"HHS Region 9","1 wk ahead","Bin","percent","3.4","3.5",0.0322
"HHS Region 9","1 wk ahead","Bin","percent","3.5","3.6",0.0238
"HHS Region 9","1 wk ahead","Bin","percent","3.6","3.7",0.0161
"HHS Region 9","1 wk ahead","Bin","percent","3.7","3.8",0.0134
"HHS Region 9","1 wk ahead","Bin","percent","3.8","3.9",0.0131
"HHS Region 9","1 wk ahead","Bin","percent","3.9","4",0.0069
"HHS Region 9","1 wk ahead","Bin","percent","4","4.1",0.00719999999999999
"HHS Region 9","1 wk ahead","Bin","percent","4.1","4.2",0.00579999999999999
"HHS Region 9","1 wk ahead","Bin","percent","4.2","4.3",0.0049
"HHS Region 9","1 wk ahead","Bin","percent","4.3","4.4",0.00599999999999999
"HHS Region 9","1 wk ahead","Bin","percent","4.4","4.5",0.0031
"HHS Region 9","1 wk ahead","Bin","percent","4.5","4.6",0.0033
"HHS Region 9","1 wk ahead","Bin","percent","4.6","4.7",0.0053
"HHS Region 9","1 wk ahead","Bin","percent","4.7","4.8",0.0068
"HHS Region 9","1 wk ahead","Bin","percent","4.8","4.9",0.0068
"HHS Region 9","1 wk ahead","Bin","percent","4.9","5",0.00349999999999999
"HHS Region 9","1 wk ahead","Bin","percent","5","5.1",0.0032
"HHS Region 9","1 wk ahead","Bin","percent","5.1","5.2",0.0016
"HHS Region 9","1 wk ahead","Bin","percent","5.2","5.3",5e-04
"HHS Region 9","1 wk ahead","Bin","percent","5.3","5.4",3e-04
"HHS Region 9","1 wk ahead","Bin","percent","5.4","5.5",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","5.5","5.6",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","5.6","5.7",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","5.7","5.8",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 9","1 wk ahead","Bin","percent","5.9","6",0
"HHS Region 9","1 wk ahead","Bin","percent","6","6.1",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 9","1 wk ahead","Bin","percent","6.2","6.3",2e-04
"HHS Region 9","1 wk ahead","Bin","percent","6.3","6.4",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","6.4","6.5",9.99999999999999e-05
"HHS Region 9","1 wk ahead","Bin","percent","6.5","6.6",0.000799999999999999
"HHS Region 9","1 wk ahead","Bin","percent","6.6","6.7",0.0013
"HHS Region 9","1 wk ahead","Bin","percent","6.7","6.8",0.00349999999999999
"HHS Region 9","1 wk ahead","Bin","percent","6.8","6.9",0.0036
"HHS Region 9","1 wk ahead","Bin","percent","6.9","7",0.0024
"HHS Region 9","1 wk ahead","Bin","percent","7","7.1",0.0025
"HHS Region 9","1 wk ahead","Bin","percent","7.1","7.2",0.000799999999999999
"HHS Region 9","1 wk ahead","Bin","percent","7.2","7.3",3e-04
"HHS Region 9","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 9","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 9","1 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 9","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 9","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 9","1 wk ahead","Bin","percent","7.8","7.9",4e-04
"HHS Region 9","1 wk ahead","Bin","percent","7.9","8",0.000699999999999999
"HHS Region 9","1 wk ahead","Bin","percent","8","8.1",0.0015
"HHS Region 9","1 wk ahead","Bin","percent","8.1","8.2",0.000999999999999999
"HHS Region 9","1 wk ahead","Bin","percent","8.2","8.3",0.0011
"HHS Region 9","1 wk ahead","Bin","percent","8.3","8.4",4e-04
"HHS Region 9","1 wk ahead","Bin","percent","8.4","8.5",3e-04
"HHS Region 9","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 9","1 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 9","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 9","1 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 9","1 wk ahead","Bin","percent","8.9","9",0
"HHS Region 9","1 wk ahead","Bin","percent","9","9.1",0
"HHS Region 9","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 9","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 9","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 9","1 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 9","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 9","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 9","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 9","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 9","1 wk ahead","Bin","percent","9.9","10",0
"HHS Region 9","1 wk ahead","Bin","percent","10","10.1",0
"HHS Region 9","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 9","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 9","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 9","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 9","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 9","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 9","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 9","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 9","1 wk ahead","Bin","percent","10.9","11",0
"HHS Region 9","1 wk ahead","Bin","percent","11","11.1",0
"HHS Region 9","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 9","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 9","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 9","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 9","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 9","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 9","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 9","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 9","1 wk ahead","Bin","percent","11.9","12",0
"HHS Region 9","1 wk ahead","Bin","percent","12","12.1",0
"HHS Region 9","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 9","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 9","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 9","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 9","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 9","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 9","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 9","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 9","1 wk ahead","Bin","percent","12.9","13",0
"HHS Region 9","1 wk ahead","Bin","percent","13","100",0
"HHS Region 9","2 wk ahead","Point","percent",NA,NA,2.7
"HHS Region 9","2 wk ahead","Bin","percent","0","0.1",0
"HHS Region 9","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 9","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 9","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 9","2 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 9","2 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 9","2 wk ahead","Bin","percent","0.6","0.7",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 9","2 wk ahead","Bin","percent","0.8","0.9",0.0014
"HHS Region 9","2 wk ahead","Bin","percent","0.9","1",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","1","1.1",0
"HHS Region 9","2 wk ahead","Bin","percent","1.1","1.2",0.0013
"HHS Region 9","2 wk ahead","Bin","percent","1.2","1.3",0.0068
"HHS Region 9","2 wk ahead","Bin","percent","1.3","1.4",0.00789999999999999
"HHS Region 9","2 wk ahead","Bin","percent","1.4","1.5",0.0012
"HHS Region 9","2 wk ahead","Bin","percent","1.5","1.6",0.00799999999999999
"HHS Region 9","2 wk ahead","Bin","percent","1.6","1.7",0.0132
"HHS Region 9","2 wk ahead","Bin","percent","1.7","1.8",0.0109
"HHS Region 9","2 wk ahead","Bin","percent","1.8","1.9",0.0176
"HHS Region 9","2 wk ahead","Bin","percent","1.9","2",0.0396
"HHS Region 9","2 wk ahead","Bin","percent","2","2.1",0.0461999999999999
"HHS Region 9","2 wk ahead","Bin","percent","2.1","2.2",0.046
"HHS Region 9","2 wk ahead","Bin","percent","2.2","2.3",0.0637999999999999
"HHS Region 9","2 wk ahead","Bin","percent","2.3","2.4",0.0712999999999999
"HHS Region 9","2 wk ahead","Bin","percent","2.4","2.5",0.0564
"HHS Region 9","2 wk ahead","Bin","percent","2.5","2.6",0.0500999999999999
"HHS Region 9","2 wk ahead","Bin","percent","2.6","2.7",0.0406
"HHS Region 9","2 wk ahead","Bin","percent","2.7","2.8",0.0386
"HHS Region 9","2 wk ahead","Bin","percent","2.8","2.9",0.0426
"HHS Region 9","2 wk ahead","Bin","percent","2.9","3",0.038
"HHS Region 9","2 wk ahead","Bin","percent","3","3.1",0.0376
"HHS Region 9","2 wk ahead","Bin","percent","3.1","3.2",0.0326
"HHS Region 9","2 wk ahead","Bin","percent","3.2","3.3",0.0324
"HHS Region 9","2 wk ahead","Bin","percent","3.3","3.4",0.0273
"HHS Region 9","2 wk ahead","Bin","percent","3.4","3.5",0.0277
"HHS Region 9","2 wk ahead","Bin","percent","3.5","3.6",0.027
"HHS Region 9","2 wk ahead","Bin","percent","3.6","3.7",0.0205
"HHS Region 9","2 wk ahead","Bin","percent","3.7","3.8",0.015
"HHS Region 9","2 wk ahead","Bin","percent","3.8","3.9",0.0141
"HHS Region 9","2 wk ahead","Bin","percent","3.9","4",0.0142
"HHS Region 9","2 wk ahead","Bin","percent","4","4.1",0.0112
"HHS Region 9","2 wk ahead","Bin","percent","4.1","4.2",0.0102
"HHS Region 9","2 wk ahead","Bin","percent","4.2","4.3",0.0114
"HHS Region 9","2 wk ahead","Bin","percent","4.3","4.4",0.01
"HHS Region 9","2 wk ahead","Bin","percent","4.4","4.5",0.00719999999999999
"HHS Region 9","2 wk ahead","Bin","percent","4.5","4.6",0.00519999999999999
"HHS Region 9","2 wk ahead","Bin","percent","4.6","4.7",0.0082
"HHS Region 9","2 wk ahead","Bin","percent","4.7","4.8",0.00669999999999999
"HHS Region 9","2 wk ahead","Bin","percent","4.8","4.9",0.00759999999999999
"HHS Region 9","2 wk ahead","Bin","percent","4.9","5",0.00759999999999999
"HHS Region 9","2 wk ahead","Bin","percent","5","5.1",0.0038
"HHS Region 9","2 wk ahead","Bin","percent","5.1","5.2",0.0032
"HHS Region 9","2 wk ahead","Bin","percent","5.2","5.3",0.0024
"HHS Region 9","2 wk ahead","Bin","percent","5.3","5.4",0.0032
"HHS Region 9","2 wk ahead","Bin","percent","5.4","5.5",0.00469999999999999
"HHS Region 9","2 wk ahead","Bin","percent","5.5","5.6",0.0051
"HHS Region 9","2 wk ahead","Bin","percent","5.6","5.7",0.00479999999999999
"HHS Region 9","2 wk ahead","Bin","percent","5.7","5.8",0.0034
"HHS Region 9","2 wk ahead","Bin","percent","5.8","5.9",0.0027
"HHS Region 9","2 wk ahead","Bin","percent","5.9","6",0.0023
"HHS Region 9","2 wk ahead","Bin","percent","6","6.1",0.0023
"HHS Region 9","2 wk ahead","Bin","percent","6.1","6.2",0.0028
"HHS Region 9","2 wk ahead","Bin","percent","6.2","6.3",0.0019
"HHS Region 9","2 wk ahead","Bin","percent","6.3","6.4",0.0016
"HHS Region 9","2 wk ahead","Bin","percent","6.4","6.5",5e-04
"HHS Region 9","2 wk ahead","Bin","percent","6.5","6.6",0.000599999999999999
"HHS Region 9","2 wk ahead","Bin","percent","6.6","6.7",0.0019
"HHS Region 9","2 wk ahead","Bin","percent","6.7","6.8",0.0011
"HHS Region 9","2 wk ahead","Bin","percent","6.8","6.9",0.0016
"HHS Region 9","2 wk ahead","Bin","percent","6.9","7",0.0019
"HHS Region 9","2 wk ahead","Bin","percent","7","7.1",0.0014
"HHS Region 9","2 wk ahead","Bin","percent","7.1","7.2",9e-04
"HHS Region 9","2 wk ahead","Bin","percent","7.2","7.3",0.0011
"HHS Region 9","2 wk ahead","Bin","percent","7.3","7.4",0.000699999999999999
"HHS Region 9","2 wk ahead","Bin","percent","7.4","7.5",4e-04
"HHS Region 9","2 wk ahead","Bin","percent","7.5","7.6",3e-04
"HHS Region 9","2 wk ahead","Bin","percent","7.6","7.7",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","7.7","7.8",3e-04
"HHS Region 9","2 wk ahead","Bin","percent","7.8","7.9",5e-04
"HHS Region 9","2 wk ahead","Bin","percent","7.9","8",2e-04
"HHS Region 9","2 wk ahead","Bin","percent","8","8.1",2e-04
"HHS Region 9","2 wk ahead","Bin","percent","8.1","8.2",4e-04
"HHS Region 9","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 9","2 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 9","2 wk ahead","Bin","percent","8.4","8.5",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","8.5","8.6",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","8.6","8.7",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","8.7","8.8",9.99999999999999e-05
"HHS Region 9","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 9","2 wk ahead","Bin","percent","8.9","9",0
"HHS Region 9","2 wk ahead","Bin","percent","9","9.1",0
"HHS Region 9","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 9","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 9","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 9","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 9","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 9","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 9","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 9","2 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 9","2 wk ahead","Bin","percent","9.9","10",0
"HHS Region 9","2 wk ahead","Bin","percent","10","10.1",0
"HHS Region 9","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 9","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 9","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 9","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 9","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 9","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 9","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 9","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 9","2 wk ahead","Bin","percent","10.9","11",0
"HHS Region 9","2 wk ahead","Bin","percent","11","11.1",0
"HHS Region 9","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 9","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 9","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 9","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 9","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 9","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 9","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 9","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 9","2 wk ahead","Bin","percent","11.9","12",0
"HHS Region 9","2 wk ahead","Bin","percent","12","12.1",0
"HHS Region 9","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 9","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 9","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 9","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 9","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 9","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 9","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 9","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 9","2 wk ahead","Bin","percent","12.9","13",0
"HHS Region 9","2 wk ahead","Bin","percent","13","100",0.0055
"HHS Region 9","3 wk ahead","Point","percent",NA,NA,2.6
"HHS Region 9","3 wk ahead","Bin","percent","0","0.1",0
"HHS Region 9","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 9","3 wk ahead","Bin","percent","0.2","0.3",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","0.3","0.4",2e-04
"HHS Region 9","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 9","3 wk ahead","Bin","percent","0.5","0.6",0.0015
"HHS Region 9","3 wk ahead","Bin","percent","0.6","0.7",0.0026
"HHS Region 9","3 wk ahead","Bin","percent","0.7","0.8",0.0012
"HHS Region 9","3 wk ahead","Bin","percent","0.8","0.9",0.0026
"HHS Region 9","3 wk ahead","Bin","percent","0.9","1",9.99999999999999e-05
"HHS Region 9","3 wk ahead","Bin","percent","1","1.1",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","1.1","1.2",0.0025
"HHS Region 9","3 wk ahead","Bin","percent","1.2","1.3",0.0074
"HHS Region 9","3 wk ahead","Bin","percent","1.3","1.4",0.0108
"HHS Region 9","3 wk ahead","Bin","percent","1.4","1.5",0.0045
"HHS Region 9","3 wk ahead","Bin","percent","1.5","1.6",0.0169
"HHS Region 9","3 wk ahead","Bin","percent","1.6","1.7",0.0251
"HHS Region 9","3 wk ahead","Bin","percent","1.7","1.8",0.0247
"HHS Region 9","3 wk ahead","Bin","percent","1.8","1.9",0.0322
"HHS Region 9","3 wk ahead","Bin","percent","1.9","2",0.0465999999999999
"HHS Region 9","3 wk ahead","Bin","percent","2","2.1",0.0485
"HHS Region 9","3 wk ahead","Bin","percent","2.1","2.2",0.0472999999999999
"HHS Region 9","3 wk ahead","Bin","percent","2.2","2.3",0.0601999999999999
"HHS Region 9","3 wk ahead","Bin","percent","2.3","2.4",0.0636999999999999
"HHS Region 9","3 wk ahead","Bin","percent","2.4","2.5",0.0522
"HHS Region 9","3 wk ahead","Bin","percent","2.5","2.6",0.0392
"HHS Region 9","3 wk ahead","Bin","percent","2.6","2.7",0.0315
"HHS Region 9","3 wk ahead","Bin","percent","2.7","2.8",0.0366
"HHS Region 9","3 wk ahead","Bin","percent","2.8","2.9",0.0316
"HHS Region 9","3 wk ahead","Bin","percent","2.9","3",0.0304
"HHS Region 9","3 wk ahead","Bin","percent","3","3.1",0.0262
"HHS Region 9","3 wk ahead","Bin","percent","3.1","3.2",0.0289
"HHS Region 9","3 wk ahead","Bin","percent","3.2","3.3",0.0266
"HHS Region 9","3 wk ahead","Bin","percent","3.3","3.4",0.024
"HHS Region 9","3 wk ahead","Bin","percent","3.4","3.5",0.0252
"HHS Region 9","3 wk ahead","Bin","percent","3.5","3.6",0.0214
"HHS Region 9","3 wk ahead","Bin","percent","3.6","3.7",0.0173
"HHS Region 9","3 wk ahead","Bin","percent","3.7","3.8",0.0121
"HHS Region 9","3 wk ahead","Bin","percent","3.8","3.9",0.0106
"HHS Region 9","3 wk ahead","Bin","percent","3.9","4",0.01
"HHS Region 9","3 wk ahead","Bin","percent","4","4.1",0.0114
"HHS Region 9","3 wk ahead","Bin","percent","4.1","4.2",0.0118
"HHS Region 9","3 wk ahead","Bin","percent","4.2","4.3",0.0142
"HHS Region 9","3 wk ahead","Bin","percent","4.3","4.4",0.00979999999999999
"HHS Region 9","3 wk ahead","Bin","percent","4.4","4.5",0.0123
"HHS Region 9","3 wk ahead","Bin","percent","4.5","4.6",0.0115
"HHS Region 9","3 wk ahead","Bin","percent","4.6","4.7",0.0081
"HHS Region 9","3 wk ahead","Bin","percent","4.7","4.8",0.007
"HHS Region 9","3 wk ahead","Bin","percent","4.8","4.9",0.00869999999999999
"HHS Region 9","3 wk ahead","Bin","percent","4.9","5",0.0059
"HHS Region 9","3 wk ahead","Bin","percent","5","5.1",0.00429999999999999
"HHS Region 9","3 wk ahead","Bin","percent","5.1","5.2",0.0039
"HHS Region 9","3 wk ahead","Bin","percent","5.2","5.3",0.0031
"HHS Region 9","3 wk ahead","Bin","percent","5.3","5.4",0.0027
"HHS Region 9","3 wk ahead","Bin","percent","5.4","5.5",0.00369999999999999
"HHS Region 9","3 wk ahead","Bin","percent","5.5","5.6",0.0041
"HHS Region 9","3 wk ahead","Bin","percent","5.6","5.7",0.003
"HHS Region 9","3 wk ahead","Bin","percent","5.7","5.8",0.0036
"HHS Region 9","3 wk ahead","Bin","percent","5.8","5.9",0.0029
"HHS Region 9","3 wk ahead","Bin","percent","5.9","6",0.0018
"HHS Region 9","3 wk ahead","Bin","percent","6","6.1",0.0019
"HHS Region 9","3 wk ahead","Bin","percent","6.1","6.2",0.0012
"HHS Region 9","3 wk ahead","Bin","percent","6.2","6.3",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.3","6.4",0.000999999999999999
